Open,High,Low,Close,Volume
0.87933993,0.94488597,0.82309246,0.6557306,0.39813152
1.2952876,0.9265852,0.37713778,0.990959,0.12202074
0.29471955,1.1130953,0.0038400888,1.3629973,0.33396432
-0.2032328,0.7782151,-0.26475498,1.1807909,0.3999038
0.3572899,0.037607305,-0.28366044,0.88059103,0.5299443
0.11000893,0.4726889,0.089124285,-0.19310004,0.38546675
0.091591686,0.3105343,0.08004951,0.42074257,0.35645905
0.35111395,0.5442232,0.21131366,0.063512236,0.9209933
0.6925522,0.48846033,0.01627168,0.20275067,1.2067468
0.90813744,0.86455053,0.12910728,0.074544206,0.55077237
0.34865135,1.4040196,0.3442011,0.30331817,0.6995396
0.3489855,1.3468004,-0.28725612,-0.071656555,0.39737692
-0.058116257,0.41488653,0.64372665,0.6710688,0.37003434
0.49929863,0.72778445,0.29756016,0.4919266,0.26464295
0.38344508,0.7500205,0.4198568,0.21613383,0.14611427
0.32422793,0.74274886,1.0302455,0.17554477,-0.6260151
0.42269057,0.86461675,1.1460495,0.34487054,-0.09094471
0.2268799,1.0851487,1.3690803,0.14692514,0.07912604
0.87685263,1.0220958,1.3309582,-0.25995198,-1.0751011
1.2973087,0.6714674,0.8419913,0.3845151,0.07827346
1.2430644,0.5156953,0.99584746,0.23744151,-0.42349547
0.6935264,0.6890435,1.2224022,0.48645478,0.076749064
1.2010486,-0.038353205,0.78618175,0.36117393,0.20024633
1.0676545,0.33242488,0.09303158,0.94294786,0.7415997
0.7659031,0.8871549,0.13317177,1.091308,0.36508077
0.8379269,0.5529498,0.24623117,0.29444963,0.72024196
0.2936767,1.2763402,0.20701964,0.87990344,0.55943114
0.5489088,0.8076484,-0.4015382,0.8412174,0.21684459
-0.04645396,0.7127546,-0.40490162,0.41563118,-0.08637221
0.31385744,0.45916432,1.1509571,1.0404208,-0.5950197
0.88229334,0.9525751,0.81759775,0.65827024,0.40230942
1.3042237,0.9284618,0.3792827,0.9945462,0.1268024
0.3026449,1.1334124,0.0027545989,1.3713505,0.32605523
-0.2056,0.77814233,-0.2604997,1.1769613,0.4007635
0.36149818,0.024507128,-0.29434568,0.88795376,0.52921444
0.106986076,0.47744453,0.08389764,-0.18762378,0.38780037
0.10426894,0.30665344,0.07931282,0.42781234,0.35313043
0.3605124,0.53249526,0.20747009,0.06971617,0.91631615
0.69530547,0.48422322,0.0148124695,0.20193325,1.2064291
0.9077889,0.8717901,0.13477004,0.07338922,0.550988
0.35607612,1.4035554,0.34571448,0.300767,0.6924518
0.35093385,1.3390799,-0.28296798,-0.06606806,0.39536488
-0.06238779,0.41167608,0.6352998,0.67194295,0.38114858
0.5026982,0.7301909,0.29865906,0.47839403,0.26966673
0.38524905,0.7494409,0.41956753,0.2123448,0.14190175
0.32843164,0.7409531,1.032815,0.17068192,-0.6252122
0.41719443,0.85974956,1.1534365,0.3400806,-0.09272775
0.23427308,1.0943955,1.3709927,0.16068286,0.08496306
0.87910444,1.0153174,1.3357245,-0.24926934,-1.0778825
1.3131683,0.66963816,0.848038,0.38166702,0.077845946
1.2483572,0.51768297,1.002605,0.24340858,-0.4270061
0.7008686,0.6950049,1.2238944,0.48860413,0.07788361
1.1999471,-0.036046788,0.7899951,0.35718396,0.20212927
1.0671816,0.3399534,0.096104756,0.95574135,0.7386841
0.7708941,0.8989167,0.14953318,1.1001855,0.36405617
0.8342949,0.5470655,0.24948627,0.28895327,0.71854967
0.30234477,1.2832456,0.20242703,0.886428,0.55677515
0.5586602,0.8002894,-0.40696955,0.8536048,0.21836774
-0.047322426,0.71240634,-0.39373553,0.41870618,-0.081991285
