Open,High,Low,Close,Volume,price,price_FD10,ret_D10,ret_FD10,label,mom_D28,sma_D14,ema_D14,rsi_D14,macd,macdSignal,bolUP_D20,bolDOWN_D20,Adj Close
-0.2056,0.77814233,-0.2604997,1.1769613,0.4007635,1.1769613,0.47839403,0.2,-0.2,0,2.208767578738025,0.8769105834877731,1.408715889723202,0.8403928667226739,1.142712386971272,0.448856212491561,0.1798118126340483,0.4358222993795686,1.1769613
0.36149818,0.024507128,-0.29434568,0.88795376,0.52921444,0.88795376,0.2123448,-0.0122536034073759,-0.2,0,0.9605580779375076,1.0371790042524816,1.4450663838992337,0.373489523569521,1.1018037725173306,0.6377266716283108,0.2512691736390843,0.9598821155397308,0.88795376
0.10426894,0.30665344,0.07931282,0.42781234,0.35313043,0.42781234,0.3400806,-0.2,-0.2,0,0.5346986760450771,0.933747982987852,0.8075011526451175,-0.1996820415136334,0.4262727851593771,0.6044656579654201,0.2985656177040841,0.6841206667513744,0.42781234
0.3605124,0.53249526,0.20747009,0.06971617,0.91631615,0.06971617,0.16068286,-0.2,0.2,1,0.13040015545174,0.7186075856809641,0.4606504075730506,-0.6438035071963537,0.1015581637775729,0.4783095598036341,0.3187247871270209,0.5228477211314327,0.06971617
0.69530547,0.48422322,0.0148124695,0.20193325,1.2064291,0.20193325,1e-06,-0.2,-0.2,0,-0.0394108640738686,0.4994899800547714,0.2349201945003578,-0.4432049989753867,-0.0835562738541501,0.3248427330403348,0.2633433375531134,0.9541043961819328,0.20193325
0.9077889,0.8717901,0.13477004,0.07338922,0.550988,0.07338922,0.38166702,-0.2,0.2,1,0.2679561910714895,0.4450267431144999,-0.0335063958954065,-0.6119240666666436,-0.2915522115639039,0.1430327538312131,0.3150023234575738,0.4095633781514422,0.07338922
0.35607612,1.4035554,0.34571448,0.300767,0.6924518,0.300767,0.24340858,-0.2,-0.2,0,-0.5123450316723775,0.30234336913331,-0.1373800554505405,-0.2429460989599252,-0.3317062938230323,-0.0138123617016206,0.3071858615050056,0.5107882965949878,0.300767
-0.06238779,0.41167608,0.6352998,0.67194295,0.38114858,0.67194295,0.35718396,-0.2,-0.2,0,0.940505679276814,0.1582388709504305,-0.242842201381902,0.3673919433495033,-0.2989409297283154,-0.2713181868313638,0.3982642118816578,-0.017185951824147,0.67194295
0.5026982,0.7301909,0.29865906,0.47839403,0.26966673,0.47839403,0.95574135,-0.2,0.2,1,0.6715008326302052,0.0197708515466606,-0.2182152627556718,0.082230580514264,-0.2259844988755072,-0.3152855732295275,0.2846124164751842,-0.1507736194642669,0.47839403
0.38524905,0.7494409,0.41956753,0.2123448,0.14190175,0.2123448,1.1001855,-0.2,0.2,1,-0.0941770720747758,-0.0900929766097002,-0.3475340527048299,-0.3003198078017703,-0.3010184337682572,-0.371756735946191,0.0859003931726335,-0.4616671057408545,0.2123448
